username, created_at, lng, lat, text
realedmo, Wed Jan 20 18:59:53 +0000 2021, -98.540651, 29.417501, @mySA Thoughts and prayers 
_MasterWilliam, Wed Jan 20 18:59:53 +0000 2021, -86.142922, 39.779562, Here we go 😭😭😭😭 
OvrwrkdGoddess, Wed Jan 20 18:59:53 +0000 2021, -86.584769, 30.750442, Really?! Smh. 
MsNicoleBanks, Wed Jan 20 18:59:53 +0000 2021, -73.849441, 40.850347, @luvlivfashion Girl!! Tryna hold it together! 
StupidWomanSuit, Wed Jan 20 18:59:53 +0000 2021, -118.018856, 33.975918, yes. i am going to kill the meme of bernie by retweeting whichever I see bc it’s just too funny for me rn 
nluneau, Wed Jan 20 18:59:53 +0000 2021, -121.767700, 37.685000, Just posted a photo @ Livermore, California https://t.co/71S8IK2u5B 
bobthamobb, Wed Jan 20 18:59:53 +0000 2021, -121.469664, 38.561722, Keep your foot on they necks cuh 😂😂😂😂😂😂😂 
jrattler9, Wed Jan 20 18:59:53 +0000 2021, -114.031150, 46.879100, @oliviamunn Yeppers 
BoltCbhoops, Wed Jan 20 18:59:53 +0000 2021, -80.401725, 26.103362, Great question 
ginakkelley, Wed Jan 20 18:59:53 +0000 2021, -77.014398, 38.898603, @lovewelleatwell I think I’m saving my bottle once it’s empty. “The bottle of champagne that said goodbye to the Tr… https://t.co/673lhXqu9R 
MaffiKellyann, Wed Jan 20 18:59:54 +0000 2021, -121.318722, 38.641305, @AllenLEllison Happy 
jesusboy_06, Wed Jan 20 18:59:53 +0000 2021, -118.203378, 33.925262, As they should 
JJacobs8885, Wed Jan 20 18:59:54 +0000 2021, -72.464218, 41.832700, @LILKTH It feels like you've been offline for years lmao 
SashaJaade, Wed Jan 20 18:59:54 +0000 2021, -76.977119, 38.965552, Turkey Bacon Is The Best Bacon . 
SARoadrunner89, Wed Jan 20 18:59:54 +0000 2021, -98.540651, 29.417501, @tacojoe_ 🏒 🥅 
KathyAlbers, Wed Jan 20 18:59:54 +0000 2021, -86.680738, 32.576227, @fred_guttenberg @JoeBiden @KamalaHarris Now I am crying ....again 
